Candle 7-09-08-Source,Column1,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-24,N-23,N-22,N-21,N-20,N-19,N-18,N-17,N-16,N-15,N-14,N-13,N-12,N-11,N-10,N-9,N-8,N-7,N-6,N-5,N-4,N-3,N-2,N-1,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,,
2.02,0,6623,11830,10062,10479,16556,3311,6623,9934,3793,3311,0,6623,6623,6623,9934,9934,16556,8519,6623,6623,6623,9934,3311,6623,3375,0,0,0,0,0,0,0,0,0,,
2.09,0,2180,8721,12148,6499,6541,8721,0,3511,2180,2180,0,2180,2180,2180,4361,0,4361,2180,2180,1331,0,2180,1331,0,2138,0,0,0,0,0,0,0,0,0,,
2.17,0,1451,11608,12464,5804,0,1742,1451,5209,6095,4644,291,6095,2902,4353,6095,1451,7837,4644,1451,4918,0,1451,1147,1451,0,0,1451,1451,0,0,0,0,0,0,,
2.25,0,0,12048,18452,13052,16645,10842,2008,22257,10842,13854,6826,6826,8032,7821,11846,3012,6203,5611,4016,9036,4016,4809,6414,8032,0,3012,1797,2008,0,0,0,0,0,0,,
2.33,0,2862,6440,16043,11274,8713,5009,4293,9308,12164,5279,3578,5009,8682,3999,7156,2862,12736,2297,4293,716,3848,4984,6145,5279,3578,2147,2297,0,0,1431,0,716,0,0,0,0
2.41,0,2091,9354,7300,4796,8455,5227,5713,5534,5209,5534,3137,523,6203,3948,2614,2614,5012,5227,2577,2091,3443,1173,2416,8689,1568,2073,0,523,0,0,0,523,0,0,0,0
2.5,0,5364,8892,14057,10411,10028,7108,9511,7504,15168,5800,10001,12855,9235,7518,10384,5958,6222,7280,6196,4254,5972,5614,6514,9407,4081,1757,1149,766,766,0,0,0,0,0,0,0
2.59,0,3187,5804,15861,8121,7831,6582,9960,8148,5462,5843,4645,8280,9765,2487,7870,5713,8131,6992,5342,4974,5963,7053,4056,9478,2998,2158,1448,290,1159,869,290,290,0,0,0,0
2.69,0,2639,9212,13380,8830,6671,5495,8101,8425,10457,7786,4608,7754,12589,7018,7689,5495,9022,6066,6039,4578,8323,4986,6798,7147,2923,3333,889,0,444,667,382,222,444,0,0,0
2.79,0,4297,13300,14087,8325,10263,7072,11013,7073,11827,8019,5915,7312,12372,8124,8554,8021,11333,5834,8598,6882,9008,5658,8252,7171,3825,2638,2393,352,1407,352,49,176,176,0,0,0
2.89,0,4914,11974,18657,9166,8797,5714,10269,9398,10941,8832,8872,7897,12859,5807,9224,6158,7104,7437,7329,5015,8813,5105,8388,4878,4745,2382,2013,853,995,426,711,0,1990,142,0,0
3,0,7983,13900,22178,11345,11036,7223,12369,10376,12812,8805,9416,6844,17705,8603,9234,8040,6712,7234,8791,5254,10055,7155,6630,7381,4666,2138,3025,942,824,353,172,235,353,235,0,0
3.11,0,6632,14879,20903,20043,14214,8534,11970,12647,16704,9134,9937,6202,18495,8027,7451,10402,9407,7070,8342,6221,10798,10610,7843,7097,4838,3212,2156,807,499,499,653,503,208,100,444,0
3.22,0,4741,15443,21451,22864,12841,7941,13610,15533,19783,8869,11823,9257,19253,8537,8988,8272,10331,5696,8597,6827,10967,9711,7476,6555,6117,3959,1601,1306,902,776,690,514,424,172,176,0
3.34,0,7856,17089,20729,32810,14991,10017,15301,16606,19698,11355,13089,9578,20143,11960,10671,9477,10401,7887,9090,8266,14624,9162,6857,7554,7018,4087,3192,1980,1874,1059,1208,164,448,299,1990,142
3.46,0,9132,16896,18956,31916,14834,10465,14648,16811,17133,14498,11596,9194,20361,14076,10239,12545,14226,7949,10536,7415,15132,10146,8051,8496,6312,3983,3239,2351,1675,1337,974,1024,642,394,353,235
